,Attrition,BusinessTravel,DailyRate,Department,EmployeeCount,EmployeeNumber,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,StockOptionLevel,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
203,No,Travel_Rarely,905,Research & Development,1,281,99,3,2,Laboratory Technician,4,2741,16523,Yes,15,3,80,1,2,7,2,3,7
204,Yes,Travel_Rarely,1180,Research & Development,1,282,70,3,2,Healthcare Representative,1,6673,11354,Yes,19,3,80,0,2,1,0,0,0
205,Yes,Travel_Rarely,121,Sales,1,283,35,3,3,Sales Executive,4,7639,24525,No,22,4,80,3,3,10,4,1,9
206,No,Travel_Rarely,1136,Research & Development,1,284,60,4,1,Research Scientist,2,2328,12392,Yes,16,3,80,1,2,4,2,2,2
207,No,Travel_Frequently,635,Research & Development,1,286,73,3,1,Laboratory Technician,4,2153,7703,No,13,3,80,0,2,8,1,1,7
208,No,Non-Travel,1151,Research & Development,1,287,63,2,2,Healthcare Representative,4,4876,14242,No,14,3,80,1,5,3,2,0,2
209,No,Travel_Rarely,644,Research & Development,1,288,97,3,3,Healthcare Representative,1,9396,12368,No,16,3,80,1,3,4,2,0,3
210,Yes,Travel_Rarely,1045,Sales,1,291,32,1,3,Sales Executive,4,10400,25812,No,11,3,80,0,2,14,8,9,8
211,No,Non-Travel,829,Research & Development,1,292,88,2,3,Manufacturing Director,3,8474,20925,No,22,4,80,0,2,11,8,5,8
212,No,Travel_Frequently,1242,Sales,1,293,90,3,2,Sales Executive,3,9981,12916,No,14,3,80,0,2,7,7,0,7
213,No,Travel_Rarely,1469,Research & Development,1,296,81,2,3,Research Director,2,12490,15736,No,16,3,80,2,5,10,9,4,7
214,Yes,Travel_Rarely,1005,Research & Development,1,297,88,3,1,Research Scientist,1,2657,8556,Yes,11,3,80,0,5,5,2,0,4
215,No,Travel_Rarely,896,Sales,1,298,75,3,3,Manager,4,13591,14674,Yes,18,3,80,0,3,1,0,0,0
216,Yes,Travel_Frequently,334,Sales,1,299,52,2,2,Sales Executive,1,6696,22967,No,15,3,80,0,5,6,3,0,1
217,Yes,Travel_Rarely,992,Research & Development,1,300,85,3,1,Research Scientist,3,2058,19757,No,14,3,80,0,1,6,2,1,5
218,No,Non-Travel,1052,Sales,1,302,57,2,3,Sales Executive,4,8865,16840,No,12,3,80,0,2,19,7,12,8
219,No,Travel_Rarely,1147,Sales,1,303,52,3,2,Sales Executive,1,5940,17011,No,14,3,80,1,4,6,2,0,5
220,No,Travel_Rarely,1396,Research & Development,1,304,62,3,2,Laboratory Technician,2,5914,9945,No,16,3,80,0,3,13,11,3,7
221,No,Travel_Rarely,147,Research & Development,1,305,47,2,1,Research Scientist,2,2622,13248,No,21,4,80,0,3,3,2,1,1
222,No,Travel_Frequently,663,Research & Development,1,306,47,3,3,Research Director,4,12185,10056,Yes,14,3,80,3,1,10,8,0,7
223,No,Travel_Rarely,119,Sales,1,307,76,3,3,Sales Executive,3,10609,9647,No,12,3,80,2,6,16,10,5,13
224,No,Non-Travel,979,Research & Development,1,308,90,1,2,Manufacturing Director,3,4345,4381,No,12,3,80,1,2,5,4,1,4
225,No,Travel_Rarely,142,Research & Development,1,309,70,2,1,Research Scientist,4,2177,8456,No,17,3,80,1,6,1,0,0,0
226,No,Travel_Frequently,319,Sales,1,311,41,3,1,Sales Representative,4,2793,2539,No,17,3,80,1,2,9,8,5,8
227,No,Travel_Frequently,1413,Sales,1,312,42,3,3,Sales Executive,4,7918,6599,No,14,3,80,1,5,11,10,4,1
228,No,Travel_Frequently,944,Sales,1,314,92,3,3,Sales Executive,3,8789,9096,No,14,3,80,0,3,10,7,0,8
229,Yes,Travel_Rarely,896,Research & Development,1,315,86,2,1,Research Scientist,4,2389,14961,Yes,13,3,80,0,3,4,3,0,1
230,No,Travel_Rarely,1323,Research & Development,1,316,89,2,1,Laboratory Technician,4,3212,3300,No,15,3,80,0,3,2,2,2,2
231,No,Travel_Rarely,532,Research & Development,1,319,58,3,5,Manager,4,19232,4933,No,11,3,80,0,3,22,17,11,15
232,No,Travel_Rarely,818,Human Resources,1,321,52,3,1,Human Resources,3,2267,25657,No,17,3,80,0,2,2,2,2,2
233,No,Travel_Rarely,854,Sales,1,323,68,3,5,Manager,4,19517,24118,No,11,3,80,1,3,7,0,0,6
234,Yes,Travel_Rarely,813,Research & Development,1,325,58,3,1,Laboratory Technician,4,2436,22149,Yes,13,3,80,1,2,5,4,0,4
235,No,Travel_Rarely,1034,Sales,1,327,80,3,4,Manager,4,16064,7744,Yes,22,4,80,1,3,17,13,1,9
236,Yes,Travel_Rarely,465,Research & Development,1,328,39,3,1,Laboratory Technician,1,2707,21509,No,20,4,80,0,3,9,7,1,7
237,No,Non-Travel,771,Sales,1,329,79,2,5,Manager,3,19068,21030,Yes,18,3,80,0,2,33,7,15,12
238,No,Travel_Rarely,1401,Sales,1,330,56,3,1,Sales Representative,2,3931,20990,No,11,3,80,1,5,4,3,1,2
239,Yes,Travel_Rarely,515,Research & Development,1,331,62,2,1,Laboratory Technician,3,3730,9571,Yes,14,3,80,0,2,3,2,1,2
240,No,Travel_Rarely,1431,Research & Development,1,332,96,3,1,Laboratory Technician,3,2232,15417,No,14,3,80,3,1,3,2,1,2
241,No,Non-Travel,976,Sales,1,333,100,3,2,Sales Executive,4,4465,12069,No,18,3,80,0,2,3,2,2,2
242,No,Travel_Rarely,1411,Research & Development,1,334,36,3,2,Research Scientist,1,3072,19877,No,16,3,80,2,2,1,0,0,0
243,No,Travel_Rarely,1300,Research & Development,1,335,62,3,2,Research Scientist,4,3319,24447,No,17,3,80,2,3,9,8,4,7
244,No,Travel_Rarely,252,Research & Development,1,336,70,4,5,Manager,4,19202,15970,No,11,3,80,1,2,24,0,1,7
245,No,Travel_Frequently,1327,Research & Development,1,337,73,3,3,Research Director,3,13675,13523,No,12,3,80,1,3,2,2,2,2
246,No,Travel_Rarely,832,Research & Development,1,338,63,2,1,Research Scientist,4,2911,14776,No,13,3,80,1,2,2,2,0,2
247,No,Travel_Rarely,470,Research & Development,1,339,84,2,2,Manufacturing Director,1,5957,23687,No,13,3,80,1,3,11,9,5,9
248,No,Travel_Rarely,1017,Research & Development,1,340,83,2,1,Research Scientist,1,3920,18697,No,14,3,80,1,2,3,1,0,2
249,No,Travel_Frequently,1199,Research & Development,1,341,77,4,2,Manufacturing Director,3,6434,5118,No,17,3,80,1,1,3,2,0,2
250,Yes,Travel_Frequently,504,Research & Development,1,342,61,3,3,Manufacturing Director,3,10048,22573,No,11,3,80,2,5,1,0,0,0
251,No,Travel_Frequently,505,Research & Development,1,343,64,3,3,Healthcare Representative,3,10938,6420,No,25,4,80,0,1,19,6,11,8
252,No,Travel_Rarely,665,Research & Development,1,346,60,3,1,Research Scientist,4,2340,22673,No,19,3,80,0,1,6,5,1,5
253,No,Travel_Rarely,916,Research & Development,1,347,82,4,2,Research Scientist,1,6545,23016,Yes,13,3,80,0,1,3,2,0,2
254,No,Travel_Rarely,1247,Sales,1,349,45,3,2,Sales Executive,4,6931,10732,No,14,3,80,1,2,3,2,0,2
255,No,Travel_Rarely,685,Research & Development,1,350,62,3,2,Manufacturing Director,3,4898,7505,No,12,3,80,2,3,4,2,1,2
256,No,Travel_Rarely,269,Research & Development,1,351,56,2,1,Laboratory Technician,1,2593,8007,Yes,11,3,80,1,4,9,6,7,8
257,No,Travel_Rarely,1416,Research & Development,1,352,49,3,5,Research Director,3,19436,5949,No,19,3,80,1,5,21,7,3,9
258,No,Travel_Rarely,833,Research & Development,1,353,96,3,1,Research Scientist,4,2723,23231,No,11,3,80,0,0,1,0,0,0
259,Yes,Travel_Frequently,307,Research & Development,1,355,71,2,1,Laboratory Technician,2,3479,11652,No,11,3,80,0,2,5,4,1,4
260,No,Travel_Frequently,1311,Research & Development,1,359,100,4,1,Laboratory Technician,2,2794,26062,No,20,4,80,0,3,5,1,0,3
261,No,Non-Travel,1327,Sales,1,361,39,2,2,Sales Executive,4,5249,19682,No,18,3,80,1,0,8,7,7,5
262,No,Travel_Rarely,128,Research & Development,1,362,84,2,2,Laboratory Technician,1,2176,19737,No,13,3,80,0,5,6,2,0,4
263,No,Travel_Rarely,488,Sales,1,363,75,1,4,Manager,2,16872,14977,Yes,12,3,80,1,2,7,7,7,7
264,Yes,Travel_Rarely,529,Research & Development,1,364,79,3,1,Laboratory Technician,3,3485,14935,No,11,3,80,0,5,0,0,0,0
265,No,Travel_Rarely,1210,Sales,1,366,78,2,2,Sales Executive,2,6644,3687,No,19,3,80,2,2,0,0,0,0
266,No,Travel_Rarely,1463,Research & Development,1,367,64,2,2,Healthcare Representative,4,5582,14408,No,21,4,80,1,2,9,0,7,8
267,No,Non-Travel,675,Research & Development,1,369,85,4,2,Healthcare Representative,1,4000,18384,No,12,3,80,2,2,6,3,1,5
268,No,Travel_Rarely,1385,Research & Development,1,372,79,3,4,Healthcare Representative,4,13496,7501,Yes,14,3,80,0,2,20,7,4,10
269,No,Travel_Rarely,1403,Research & Development,1,373,47,3,1,Laboratory Technician,4,3210,20251,No,11,3,80,1,4,15,13,10,11
270,No,Travel_Rarely,452,Research & Development,1,374,81,3,5,Manager,1,19045,18938,Yes,14,3,80,0,2,36,10,4,13
271,Yes,Non-Travel,666,Research & Development,1,376,88,3,3,Manager,2,11849,10268,Yes,12,3,80,1,2,10,7,9,9
272,No,Travel_Rarely,1158,Research & Development,1,377,94,3,1,Research Scientist,4,2070,2613,No,23,4,80,1,3,5,2,0,4
273,No,Travel_Rarely,228,Sales,1,378,98,3,2,Sales Executive,4,6502,22825,No,14,3,80,1,5,5,4,0,1
274,No,Travel_Rarely,996,Research & Development,1,379,100,2,1,Research Scientist,3,3230,10531,No,17,3,80,0,4,3,2,1,0
275,No,Non-Travel,728,Research & Development,1,380,80,3,3,Research Director,4,13603,11677,Yes,18,3,80,2,2,5,2,0,2
276,No,Travel_Rarely,1315,Research & Development,1,381,71,4,3,Manager,2,11996,19100,No,18,3,80,1,6,7,7,6,2
277,No,Travel_Rarely,322,Sales,1,382,44,4,2,Sales Executive,1,5605,19191,Yes,24,4,80,1,3,8,0,7,7
278,No,Travel_Frequently,1479,Research & Development,1,384,84,3,2,Manufacturing Director,2,6397,26767,No,20,4,80,1,6,6,5,1,4
279,No,Travel_Rarely,797,Research & Development,1,385,96,3,5,Research Director,2,19144,15815,No,14,3,80,2,4,10,4,1,6
280,No,Travel_Rarely,1070,Research & Development,1,386,45,3,4,Research Director,3,17584,21016,Yes,16,3,80,3,5,5,3,1,3
281,No,Travel_Rarely,635,Sales,1,387,99,3,2,Sales Executive,3,4907,24532,No,25,4,80,0,3,20,16,11,6
282,No,Travel_Frequently,442,Sales,1,388,44,3,2,Sales Executive,4,4554,20260,No,18,3,80,0,3,10,7,0,9
283,No,Travel_Rarely,147,Research & Development,1,389,37,3,2,Laboratory Technician,4,5415,15972,Yes,19,3,80,1,4,10,7,0,8
284,No,Travel_Frequently,496,Research & Development,1,390,60,3,2,Healthcare Representative,1,4741,22722,Yes,13,3,80,1,3,5,3,3,3
285,No,Travel_Rarely,1372,Research & Development,1,391,42,3,1,Research Scientist,4,2115,15881,No,12,3,80,0,3,17,12,5,7
286,Yes,Travel_Frequently,920,Research & Development,1,392,43,3,1,Laboratory Technician,3,3161,19920,Yes,22,4,80,1,0,1,0,0,0
287,No,Travel_Rarely,688,Research & Development,1,393,82,3,2,Healthcare Representative,4,5745,18899,No,14,3,80,1,2,2,2,1,2
288,Yes,Travel_Rarely,1449,Research & Development,1,394,45,3,1,Laboratory Technician,2,2373,14180,Yes,13,3,80,1,2,3,2,0,2
289,No,Travel_Rarely,1117,Research & Development,1,395,66,3,1,Research Scientist,4,3310,4488,No,21,4,80,0,3,5,3,0,2
290,No,Travel_Frequently,636,Research & Development,1,396,35,3,5,Research Director,1,18665,25594,Yes,11,3,80,0,4,3,2,1,2
291,No,Travel_Rarely,506,Research & Development,1,397,30,3,2,Research Scientist,2,4485,26285,No,12,3,80,0,2,8,0,7,7
292,No,Travel_Frequently,444,Sales,1,399,84,3,1,Sales Representative,2,2789,3909,No,11,3,80,1,5,2,2,2,2
293,Yes,Travel_Rarely,950,Sales,1,401,48,2,2,Sales Executive,4,5828,8450,Yes,12,3,80,0,0,8,7,7,4
294,No,Travel_Frequently,889,Research & Development,1,403,53,3,1,Research Scientist,4,2326,11411,Yes,12,3,80,3,3,4,2,1,2
295,No,Travel_Frequently,555,Sales,1,404,77,3,4,Sales Executive,2,13525,14864,No,14,3,80,1,2,20,4,4,8
296,Yes,Travel_Rarely,230,Research & Development,1,405,54,3,1,Laboratory Technician,3,1420,25233,No,13,3,80,0,2,0,0,0,0
297,No,Travel_Rarely,1232,Sales,1,406,96,3,3,Sales Executive,2,8020,5100,No,15,3,80,2,3,11,9,6,9
298,No,Travel_Frequently,566,Research & Development,1,407,81,4,1,Laboratory Technician,4,3688,7122,No,18,3,80,2,2,1,0,0,0
299,No,Travel_Rarely,1302,Research & Development,1,408,84,1,2,Manufacturing Director,2,5482,16321,No,18,3,80,1,3,4,1,1,2
300,No,Travel_Rarely,334,Sales,1,410,88,3,4,Manager,2,16015,15896,No,19,3,80,0,2,22,10,0,4
301,No,Travel_Rarely,812,Sales,1,411,69,2,1,Sales Representative,3,1200,9724,No,12,3,80,0,2,0,0,0,0
302,No,Travel_Rarely,1476,Research & Development,1,412,68,4,2,Healthcare Representative,1,5661,4824,No,19,3,80,0,2,8,3,0,7
303,No,Travel_Rarely,218,Sales,1,416,100,4,2,Sales Executive,4,6929,12241,No,11,3,80,1,3,8,7,7,7
304,No,Travel_Rarely,1132,Research & Development,1,417,48,4,3,Healthcare Representative,4,9613,10942,No,17,3,80,3,5,18,10,3,7
305,No,Non-Travel,1105,Research & Development,1,419,47,3,2,Laboratory Technician,2,5674,6927,No,15,3,80,1,3,9,8,0,8
306,No,Travel_Rarely,906,Sales,1,420,91,2,2,Sales Executive,3,5484,16985,No,14,3,80,1,3,13,8,4,8
307,No,Travel_Rarely,849,Research & Development,1,421,81,2,3,Research Director,2,12061,26707,No,17,3,80,1,2,10,8,0,1
308,No,Non-Travel,390,Research & Development,1,422,32,1,2,Healthcare Representative,3,5660,17056,Yes,13,3,80,1,2,5,3,1,2
309,No,Travel_Rarely,691,Research & Development,1,423,86,3,1,Research Scientist,4,4821,10077,Yes,12,3,80,1,4,5,2,0,3
310,No,Travel_Rarely,106,Human Resources,1,424,62,2,2,Human Resources,1,6410,17822,No,12,3,80,0,1,2,2,1,0
311,No,Travel_Frequently,1249,Research & Development,1,425,97,3,3,Laboratory Technician,1,5210,20308,No,18,3,80,1,2,24,9,9,11
312,No,Travel_Rarely,192,Research & Development,1,426,32,3,1,Research Scientist,4,2695,7747,Yes,18,3,80,1,2,2,2,2,2
313,No,Travel_Frequently,553,Research & Development,1,428,74,3,3,Manager,2,11878,23364,No,11,3,80,2,2,10,6,8,8
314,No,Travel_Rarely,117,Research & Development,1,429,99,3,4,Manager,1,17068,5355,Yes,14,3,80,0,3,21,9,11,10
315,No,Travel_Frequently,185,Research & Development,1,430,33,3,1,Laboratory Technician,4,2455,10675,No,19,3,80,0,5,8,7,1,7
316,No,Travel_Rarely,1091,Research & Development,1,431,90,2,4,Healthcare Representative,3,13964,17810,Yes,12,3,80,0,2,7,1,0,7
317,Yes,Travel_Rarely,723,Research & Development,1,433,85,2,2,Research Scientist,2,4941,17747,No,15,3,80,0,3,8,2,7,7
318,No,Travel_Rarely,1220,Research & Development,1,434,85,3,1,Research Scientist,2,2478,20938,Yes,12,3,80,0,2,4,3,1,2
319,No,Travel_Rarely,588,Sales,1,436,65,2,2,Sales Executive,2,5228,24624,Yes,11,3,80,0,2,13,12,11,9
320,No,Travel_Rarely,1377,Sales,1,437,74,3,2,Sales Executive,3,4478,5242,Yes,11,3,80,0,3,5,4,0,4
321,No,Travel_Rarely,691,Sales,1,438,73,3,2,Sales Executive,4,7547,7143,No,12,3,80,3,3,7,7,1,7
322,No,Travel_Rarely,1018,Research & Development,1,439,74,4,2,Research Scientist,4,5055,10557,No,16,3,80,0,0,7,7,0,7
323,Yes,Travel_Rarely,1157,Research & Development,1,440,84,1,1,Research Scientist,4,3464,24737,Yes,13,3,80,0,4,3,2,2,2
324,No,Travel_Rarely,1275,Research & Development,1,441,64,3,2,Research Scientist,4,5775,11934,No,13,3,80,2,2,10,8,1,9
325,No,Travel_Frequently,798,Research & Development,1,442,48,2,3,Manufacturing Director,3,8943,14034,No,24,4,80,1,2,10,9,8,9
326,No,Travel_Frequently,672,Research & Development,1,444,54,2,5,Manager,4,19272,21141,No,15,3,80,1,2,21,9,13,3
327,Yes,Travel_Rarely,1162,Sales,1,445,41,3,2,Sales Executive,3,5238,17778,Yes,18,3,80,0,3,1,0,0,0
328,No,Travel_Frequently,508,Sales,1,446,46,2,2,Sales Executive,4,4682,4317,No,14,3,80,0,6,7,7,0,1
329,No,Travel_Rarely,1482,Research & Development,1,447,42,3,5,Research Director,3,18300,16375,No,11,3,80,1,2,3,2,1,1
330,No,Travel_Frequently,559,Research & Development,1,448,82,2,2,Laboratory Technician,3,5257,6227,No,11,3,80,1,3,9,7,0,0
331,No,Non-Travel,210,Sales,1,449,73,3,2,Sales Executive,2,6349,22107,Yes,13,3,80,1,0,5,4,1,4
332,No,Travel_Frequently,928,Research & Development,1,450,31,3,2,Research Scientist,3,4869,16885,No,12,3,80,0,4,4,3,0,3
333,No,Travel_Rarely,1001,Research & Development,1,451,43,3,3,Healthcare Representative,1,9985,9262,No,16,3,80,1,1,1,0,0,0
334,No,Travel_Rarely,549,Research & Development,1,452,75,3,2,Research Scientist,4,3697,9278,No,14,3,80,2,3,10,9,9,8
335,No,Travel_Rarely,1124,Sales,1,453,57,1,2,Sales Executive,4,7457,13273,Yes,22,4,80,3,2,4,3,0,2
336,Yes,Travel_Rarely,318,Research & Development,1,454,77,1,1,Laboratory Technician,1,2119,4759,Yes,11,3,80,0,4,7,7,0,7
337,No,Travel_Rarely,738,Research & Development,1,455,30,2,1,Laboratory Technician,4,3983,7621,No,17,3,80,0,2,3,2,2,2
338,No,Travel_Rarely,570,Sales,1,456,30,2,2,Sales Executive,3,6118,5431,No,13,3,80,3,2,10,9,1,2
339,No,Travel_Rarely,1130,Sales,1,458,56,3,2,Sales Executive,2,6214,3415,No,18,3,80,1,3,8,7,0,7
340,No,Travel_Rarely,1192,Research & Development,1,460,61,3,2,Manufacturing Director,4,6347,23177,No,16,3,80,2,2,6,2,0,4
341,No,Travel_Rarely,343,Research & Development,1,461,92,2,3,Research Director,4,11510,15682,Yes,14,3,80,1,3,11,10,2,9
342,No,Travel_Rarely,1232,Research & Development,1,462,39,3,3,Manufacturing Director,4,7143,25713,Yes,14,3,80,0,2,11,9,4,10
343,No,Travel_Rarely,144,Sales,1,463,39,2,2,Sales Executive,2,8268,11866,Yes,14,3,80,2,2,7,7,1,7
344,No,Travel_Rarely,1296,Research & Development,1,464,62,3,3,Manufacturing Director,2,8095,18264,No,13,3,80,0,5,16,6,0,13
345,No,Travel_Rarely,1309,Research & Development,1,465,83,3,1,Research Scientist,4,2904,16092,No,12,3,80,2,2,4,2,0,2
346,No,Travel_Rarely,483,Research & Development,1,466,95,2,2,Manufacturing Director,2,6032,10110,Yes,15,3,80,0,3,5,4,1,2
347,No,Travel_Frequently,1309,Sales,1,467,99,3,2,Sales Representative,3,2976,25751,No,19,3,80,0,3,0,0,0,0
348,No,Travel_Rarely,810,Research & Development,1,468,44,3,4,Research Director,4,15992,15901,No,14,3,80,0,2,1,0,0,0
349,No,Non-Travel,746,Sales,1,469,61,3,2,Sales Executive,3,4649,16928,No,14,3,80,1,3,4,3,0,2
350,No,Travel_Rarely,544,Human Resources,1,470,52,3,1,Human Resources,3,2696,24017,Yes,11,3,80,1,5,3,2,1,0
351,No,Travel_Rarely,1062,Research & Development,1,471,75,3,1,Laboratory Technician,2,2370,3956,No,13,3,80,1,4,8,0,0,7
352,No,Travel_Rarely,530,Sales,1,473,91,3,3,Manager,3,12504,23978,No,21,4,80,1,3,0,0,0,0
353,No,Travel_Rarely,1319,Research & Development,1,474,51,4,2,Research Scientist,1,5974,17001,Yes,13,3,80,2,2,7,7,6,7
354,No,Non-Travel,641,Sales,1,475,85,3,2,Sales Executive,3,4736,6069,Yes,12,3,80,1,2,2,2,2,2
355,No,Travel_Rarely,933,Sales,1,476,57,3,2,Sales Executive,3,5296,20156,No,17,3,80,1,3,8,7,7,7
356,No,Travel_Rarely,1332,Research & Development,1,477,98,2,2,Healthcare Representative,4,6781,17078,No,23,4,80,0,6,1,0,0,0
357,Yes,Travel_Frequently,756,Sales,1,478,99,2,1,Sales Representative,2,2174,9150,Yes,11,3,80,0,3,3,2,1,2
358,No,Non-Travel,845,Sales,1,479,45,3,2,Sales Executive,4,6653,15276,No,15,3,80,0,6,1,0,0,0
359,No,Travel_Frequently,541,Sales,1,481,48,2,3,Sales Executive,4,9699,7246,No,11,3,80,1,2,13,9,1,12
360,No,Travel_Rarely,593,Research & Development,1,482,88,3,2,Healthcare Representative,3,6755,2967,No,11,3,80,0,2,3,2,1,2
361,No,Travel_Rarely,1171,Research & Development,1,483,46,4,1,Laboratory Technician,3,2213,22495,Yes,13,3,80,1,3,7,7,1,7
362,No,Non-Travel,895,Sales,1,484,39,3,1,Sales Representative,4,2610,2851,No,24,4,80,0,3,3,2,2,2
363,Yes,Travel_Rarely,350,Sales,1,485,34,3,1,Sales Representative,3,2851,9150,Yes,13,3,80,0,2,1,0,0,0
364,No,Travel_Rarely,921,Research & Development,1,486,98,3,1,Laboratory Technician,1,3452,17663,No,20,4,80,1,3,5,4,0,3
365,No,Non-Travel,1144,Research & Development,1,487,30,3,2,Manufacturing Director,3,5258,16044,No,14,3,80,0,2,1,0,0,0
366,Yes,Travel_Frequently,143,Sales,1,488,56,3,2,Sales Executive,2,9355,9558,No,18,3,80,0,5,8,7,7,7
367,No,Travel_Rarely,1046,Research & Development,1,491,100,2,3,Healthcare Representative,4,10496,2755,No,15,3,80,0,2,4,3,1,3
368,Yes,Travel_Rarely,575,Sales,1,492,68,2,2,Sales Executive,3,6380,6110,Yes,12,3,80,2,6,6,4,1,0
369,No,Travel_Rarely,408,Research & Development,1,493,42,2,1,Research Scientist,2,2657,7551,Yes,16,3,80,0,5,2,2,2,2
370,Yes,Travel_Rarely,156,Sales,1,494,90,4,1,Sales Representative,2,2716,25422,No,15,3,80,0,0,1,0,0,0
371,No,Travel_Rarely,1283,Research & Development,1,495,54,3,1,Research Scientist,4,2201,18168,No,16,3,80,0,4,3,2,1,2
372,No,Travel_Rarely,755,Research & Development,1,496,97,2,2,Healthcare Representative,2,6540,19394,No,19,3,80,0,5,1,1,0,0
373,No,Travel_Rarely,1469,Research & Development,1,497,82,3,1,Laboratory Technician,2,3816,17881,No,11,3,80,1,2,5,2,0,4
374,No,Travel_Rarely,304,Sales,1,498,92,3,2,Sales Executive,4,5253,20750,No,16,3,80,0,1,7,5,0,7
375,No,Travel_Rarely,1261,Research & Development,1,499,31,2,3,Healthcare Representative,3,10965,12066,No,24,4,80,0,2,5,2,0,0
376,No,Travel_Rarely,1178,Sales,1,500,87,3,2,Sales Executive,4,4936,14862,No,11,3,80,1,2,7,7,0,7
377,No,Travel_Rarely,329,Research & Development,1,501,96,3,1,Research Scientist,3,2543,11868,No,13,3,80,1,3,2,2,2,2
378,Yes,Non-Travel,1362,Sales,1,502,67,4,2,Sales Executive,4,5304,4652,Yes,13,3,80,0,3,5,2,0,4
379,No,Travel_Rarely,1311,Research & Development,1,505,97,3,4,Manager,4,16659,23258,Yes,13,3,80,0,2,5,4,1,2
380,No,Travel_Rarely,1371,Sales,1,507,77,3,2,Sales Executive,3,4260,5915,Yes,12,3,80,1,2,5,2,0,3
381,No,Travel_Rarely,202,Sales,1,508,72,3,1,Sales Representative,2,2476,17434,No,18,3,80,1,3,1,0,0,0
382,Yes,Travel_Frequently,575,Research & Development,1,510,73,3,1,Research Scientist,1,3102,6582,No,22,4,80,0,2,6,4,0,4
383,No,Travel_Rarely,253,Research & Development,1,511,43,3,1,Research Scientist,2,2244,24440,No,13,3,80,1,1,2,1,1,2
384,No,Travel_Rarely,164,Sales,1,513,61,2,3,Sales Executive,3,7596,3809,No,13,3,80,2,2,10,9,9,0
385,Yes,Travel_Frequently,464,Research & Development,1,514,40,3,1,Research Scientist,4,2285,3427,Yes,23,4,80,0,4,1,0,0,0
386,No,Travel_Rarely,1107,Research & Development,1,515,95,3,1,Laboratory Technician,1,3034,26914,No,12,3,80,1,2,18,7,12,17
387,No,Travel_Rarely,759,Sales,1,516,46,3,2,Sales Executive,2,5715,22553,No,12,3,80,2,5,5,4,1,3
388,No,Travel_Rarely,201,Research & Development,1,517,95,3,1,Laboratory Technician,1,2576,20490,No,16,3,80,1,5,5,2,1,2
389,No,Travel_Rarely,1305,Research & Development,1,518,49,3,2,Manufacturing Director,2,4197,21123,Yes,12,3,80,0,2,1,0,0,1
390,No,Travel_Rarely,982,Research & Development,1,520,59,2,4,Research Director,2,14336,4345,No,11,3,80,1,3,25,10,3,9
391,No,Travel_Rarely,555,Research & Development,1,521,78,2,2,Laboratory Technician,3,3448,13436,No,22,4,80,1,3,1,0,0,0
392,No,Travel_Rarely,821,Research & Development,1,522,86,3,5,Research Director,1,19406,8509,No,11,3,80,1,4,4,2,1,2
393,No,Non-Travel,1381,Sales,1,523,72,3,2,Sales Executive,3,6538,12740,No,15,3,80,1,3,3,2,1,2
394,No,Travel_Rarely,480,Research & Development,1,524,31,3,2,Manufacturing Director,1,4306,4156,No,12,3,80,1,5,13,10,3,12
395,No,Travel_Frequently,313,Research & Development,1,525,61,3,1,Laboratory Technician,4,2258,15238,No,20,4,80,1,1,3,2,1,2
396,No,Travel_Rarely,1473,Research & Development,1,526,74,3,2,Healthcare Representative,3,4522,2227,Yes,14,3,80,0,3,5,2,0,2
397,No,Travel_Rarely,891,Sales,1,527,99,2,2,Sales Executive,4,4487,12090,Yes,11,3,80,0,3,5,4,1,3
398,No,Non-Travel,1063,Research & Development,1,529,72,3,2,Research Scientist,3,4449,23866,Yes,15,3,80,2,2,13,11,10,7
399,No,Travel_Rarely,329,Research & Development,1,530,98,2,1,Laboratory Technician,1,2218,16193,No,12,3,80,1,3,4,2,3,2
400,No,Travel_Frequently,1218,Research & Development,1,531,52,3,5,Manager,3,19197,8213,Yes,14,3,80,1,3,21,8,1,6
401,No,Travel_Frequently,906,Sales,1,532,86,4,4,Sales Executive,1,13212,18256,No,11,3,80,3,0,7,7,7,7
402,No,Travel_Rarely,1082,Sales,1,533,83,3,2,Sales Executive,3,6577,19558,No,11,3,80,0,6,5,4,4,4
403,No,Travel_Rarely,645,Sales,1,534,49,4,3,Sales Executive,1,8392,19566,No,16,3,80,1,2,10,7,0,7
404,No,Travel_Rarely,1300,Research & Development,1,536,79,3,2,Laboratory Technician,1,4558,13535,No,12,3,80,1,2,10,0,1,8
405,Yes,Travel_Rarely,688,Research & Development,1,538,91,3,1,Laboratory Technician,1,4031,9396,No,13,3,80,1,5,2,2,0,2
406,No,Travel_Rarely,319,Research & Development,1,543,39,2,3,Manufacturing Director,3,7969,19609,Yes,14,3,80,0,4,5,4,0,4
407,No,Travel_Rarely,192,Research & Development,1,544,69,3,1,Research Scientist,4,2654,9655,No,21,4,80,2,3,2,2,0,2
408,No,Travel_Rarely,1490,Research & Development,1,546,30,3,4,Manager,4,16555,10310,No,13,3,80,0,2,5,2,1,4
409,No,Travel_Frequently,532,Research & Development,1,547,92,3,2,Research Scientist,3,4556,12932,No,11,3,80,1,3,5,4,0,2
